ID,등급,카드이름,카드종류,코스트,공격력,체력,카드설명,명령어
1,희귀,SI:7 요원,하수인,3,3,3,연계: 피해를 2 줍니다.,[연계]:[피해주기(조건없음|캐릭터|양쪽|2)]
2,일반,그림자 밟기,주문,0,0,0,아군 하수인을 내 손으로 다시 가져옵니다. 그 하수인의 비용이 (2) 감소합니다.,[없음]:
3,기본,기습,주문,0,0,0,피해를 받지 않은 하수인에게 피해를 2 줍니다.,[없음]:
4,일반,냉혈 ,주문,0,0,0,하수인에게 공격력을 +2 부여합니다. 연계: 대신 공격력을 +4 부여합니다.,[없음]:
5,기본,맹독,주문,1,0,0,내 무기에 공격력을 +2 부여합니다.,[없음]:
6,일반,배신,주문,2,0,0,적 하수인이 자신의 공격력만큼 양옆의 하수인들을 공격하게 만듭니다.,[없음]:
7,기본,사악한 일격,주문,1,0,0,적 영웅에게 피해를 3 줍니다.,[없음]:
8,기본,암살,주문,5,0,0,적 하수인을 처치합니다.,[없음]:
9,기본,암살자의검,무기,5,3,4,ㅤ,[없음]:
10,기본,독칼,주문,2,0,0,피해를 1 줍니다. 카드를 뽑습니다.,[없음]:
11,특급,마음가짐,주문,0,0,0,이번 턴에 내가 시전하는 다음 주문의 비용이 (2) 감소합니다.,[없음]:
12,전설,에드윈 밴클리프,하수인,3,2,2,연계: 이번 턴에 앞서 낸 카드 1장당 +2/+2를 얻습니다.,[없음]:
13,기본,전력 질주,주문,7,0,0,카드를 4장 뽑습니다.,[없음]:
14,일반,절개,주문,2,0,0,피해를 2 줍니다. 연계: 대신 피해를 4 줍니다.,[없음]:
15,기본,칼날 부채,주문,3,0,0,모든 적 하수인에게 피해를 1 줍니다. 카드를 뽑습니다.,[없음]:
16,희귀,폭풍의 칼날,주문,2,0,0,내 무기를 파괴하고 그 무기의 공격력만큼 모든 적 하수인에게 피해를 줍니다.,[없음]:
17,일반,은폐,주문,1,0,0,내 다음 턴까지 아군 하수인들에게 은신을 부여합니다.,[없음]:
18,기본,소멸,주문,6,0,0,모든 하수인을 주인의 손으로 돌려보냅니다.,[없음]:
19,일반,데피아즈단 두목,하수인,2,2,2,연계: 2/1 데피아즈단 무법자를 소환합니다.,[없음]:
20,토큰,데피아즈단 무법자,하수인,1,2,1,ㅤ,[없음]:
21,일반,혼절시키기,주문,2,0,0,적 하수인을 상대편의 손으로 돌려보냅니다.,[없음]:
22,희귀,머리 후려치기,주문,3,0,0,적 영웅에게 피해를 2 줍니다. 연계: 다음 턴에 이 카드를 내 손으로 다시 가져옵니다.,[없음]:
23,희귀,전멸의 비수,주문,3,2,2,전투의 함성: 피해를 1 줍니다. 연계: 대신 피해를 2 줍니다.,[없음]:
