ID,등급,카드이름,카드종류,코스트,공격력,체력,카드설명,명령어
1,일반,가시덤불 호랑이,하수인,5,5,5,은신,[전투의함성]:[은신]
2,기본,가시덩굴 사냥꾼,하수인,3,2,3,전투의 함성: 1/1 멧돼지를 소환합니다.,[전투의함성]:[소환(조건없음|자신|3)]
3,토큰,멧돼지,하수인,1,1,1,ㅤ,[없음]:
4,희귀,가젯잔 경매인,하수인,5,4,4,내가 주문을 시전할 때마다 카드를 뽑습니다.,[주문시전]:[카드뽑기(조건없음|자신|1)]
5,일반,가혹한 하사관,하수인,1,1,1,전투의 함성: 이번 턴에 하수인에게 공격력을 +2 부여합니다.,[전투의함성]:[공격력부여(조건없음|하수인|양쪽|이번턴|2])]
6,희귀,검 제작의 대가,하수인,2,1,3,내 턴이 끝날 때 다른 무작위 아군 하수인에게 공격력을 +1 부여합니다.,[내턴종료]:[공격력부여(조건없음|무작위하수인|아군|영구|1])
7,일반,검은무쇠 드워프,하수인,4,4,4,전투의 함성: 이번 턴에 하수인에게 공격력을 +2 부여합니다.,[전투의함성]:[공격력부여(조건없음|하수인|양쪽|이번턴|2)]
8,희귀,고대의 감시자,하수인,2,4,5,공격할 수 없습니다.,[전투의함성]:[공격불가]
9,희귀,고대의 마법사,하수인,4,2,5,전투의 함성: 양옆의 하수인들에게 주문 공격력 +1을 부여합니다.,[전투의함성]:[주문공격력(조건없음|양옆하수인|양쪽|영구|2)]
10,일반,고대의 양조사,하수인,4,5,4,전투의 함성: 아군 하수인을 내 손으로 다시 가져옵니다.,[전투의함성]:[패로가져오기(조건없음|하수인|아군)]
11,일반,공격대장,하수인,3,2,2,내 다른 하수인들이 공격력을 +1 얻습니다.,[필드존재]:[공격력부여(조건없음|모든하수인|자신|지속|1)]
12,일반,공포의 해적,하수인,4,3,3,도발 내 무기의 공격력만큼 비용이 감소합니다.,[전투의함성]:[도발][비용감소(조건없음|무기공격력)]
13,희귀,광기의 연금술사,하수인,2,2,2,전투의 함성: 하수인의 공격력과 생명력을 바꿉니다.,[전투의함성]:[공수바꾸기(조건없음|하수인|양쪽|영구)]
14,기본,늑대기수,하수인,3,3,1,돌진,[전투의함성]:[돌진]
15,일반,광포한 늑대 우두머리,하수인,2,2,2,양옆의 하수인들이 공격력을 +1 얻습니다.,[전투의함성]:[주문공격력(조건없음|발동주체|자신|영구|1)][전투의함성]:[카드뽑기(조건없음|자신|1)]
16,기본,구루바시 광전사,하수인,5,2,7,이 하수인은 피해를 받을 때마다 공격력을 +3 얻습니다.,[피해받음]:[공격력부여(조건없음|발동주체|자신|영구|3)]
17,일반,굶주린 식인 구울,하수인,3,2,3,하수인이 죽을 때마다 공격력을 +1 얻습니다.,[하수인죽음]:[공격력부여(조건없음|발동주체|자신|영구|1)]
18,기본,기계용 정비사,하수인,4,2,4,전투의 함성: 2/1 소형 기계용을 소환합니다.,[전투의함성]:[소환(조건없음|자신|19)]
19,토큰,소형 기계용,하수인,1,2,1,ㅤ,[없음]:
20,특급,나 이런 사냥꾼이야,하수인,3,4,2,전투의 함성: 공격력이 7 이상인 하수인을 처치합니다.,[전투의함성]:[하수인제거(조건없음|하수인공격력7이상|양쪽)]
21,희귀,날뛰는 코도,하수인,5,3,5,전투의 함성: 공격력이 2 이하인 무작위 적 하수인을 처치합니다.,[전투의함성]:[하수인제거(조건없음|무작위하수인공격력2이하|양쪽)]
22,희귀,대지 고리회 선견자,하수인,3,3,3,전투의 함성: 생명력을 3 회복시킵니다.,[전투의함성]:[생명력회복(조건없음|캐릭터|양쪽|3)]
23,전설,그룰,하수인,8,7,7,각 턴이 끝날 때 +1/+1을 얻습니다.,[각턴종료]:[생명력부여(조건없음|발동주체|자신|영구|1)][각턴종료]:[공격력부여(조건없음|발동주체|자신|영구|1)]
24,기본,남쪽바다 갑판원,하수인,1,2,1,내 영웅이 무기를 장착하고 있으면 돌진을 얻습니다.,[무기착용]:[돌진]
25,전설,내트 페이글,하수인,2,0,4,내 턴이 시작될 때 50%의 확률로 카드를 1장 더 뽑습니다.,[내턴시작]:[카드뽑기(50확률|자신|1)]
26,일반,냉기정령,하수인,6,5,5,전투의 함성: 캐릭터를 빙결 상태로 만듭니다.,[전투의함성]:[빙결(조건없음|캐릭터|양쪽)]
27,기본,노움 발명가,하수인,4,2,4,전투의 함성: 카드를 뽑습니다.,[전투의함성]:[카드뽑기(조건없음|자신|1)]
28,전설,실바나스 윈드러너,하수인,6,5,5,죽음의 메아리: 무작위 적 하수인을 가져옵니다.,[죽음의메아리]:[하수인뺏기(조건없음|하수인|상대)]
29,전설,데스윙,하수인,10,12,12,전투의 함성: 전장의 다른 모든 하수인을 처치하고 내 손에 있는 카드를 모두 버립니다.,[전투의함성]:[하수인제거(조건없음|모든하수인|양쪽)][전투의함성]:[카드버리기(조건없음|자신|자신의패)]
30,기본,돌주먹 오우거,하수인,6,7,7,ㅤ,[없음]:
31,전설,리로이 젠킨스,하수인,4,6,2,돌진 전투의 함성: 상대편에게 1/1 새끼용을 2마리 소환해 줍니다.,[전투의함성]:[돌진][전투의함성]:[소환(조건없음|상대|32)][전투의함성]:[소환(조건없음|상대|32)]
32,토큰,새끼용,하수인,1,1,1,ㅤ,
33,전설,말리고스,하수인,9,4,12,주문 공격력 +5,[전투의함성]:[주문공격력(조건없음|발동주체|자신|영구|5)]
34,일반,무쇠부리 올빼미,하수인,2,2,1,전투의 함성: 하수인을 침묵시킵니다.,[전투의함성]:[하수인침묵(조건없음|하수인|양쪽)]
35,희귀,보랏빛 여교사,하수인,4,3,5,내가 주문을 시전할 때마다 1/1 보랏빛 수습생을 소환합니다.,[주문시전]:[소환(조건없음|자신|36)]
